State,County,Year,Price
California,Nevada,2009,"$372,616.67 "
California,Nevada,2010,"$324,708.33 "
California,Nevada,2011,"$291,516.67 "
California,Nevada,2012,"$276,333.33 "
California,Nevada,2013,"$310,908.33 "
California,Nevada,2014,"$352,525.00 "
California,Nevada,2015,"$368,666.67 "
California,Nevada,2016,"$388,158.33 "
California,Nevada,2017,"$418,281.82 "
California,Yolo,2008,"$352,675.00 "
California,Yolo,2009,"$301,383.33 "
California,Yolo,2010,"$260,500.00 "
California,Yolo,2011,"$243,900.00 "
California,Yolo,2012,"$242,491.67 "
California,Yolo,2013,"$282,525.00 "
California,Yolo,2014,"$327,283.33 "
California,Yolo,2015,"$353,008.33 "
California,Yolo,2016,"$377,491.67 "
California,Yolo,2017,"$400,918.18 "
California,Solano,2008,"$333,425.00 "
California,Solano,2009,"$261,008.33 "
California,Solano,2010,"$222,341.67 "
California,Solano,2011,"$199,933.33 "
California,Solano,2012,"$199,925.00 "
California,Solano,2013,"$242,266.67 "
California,Solano,2014,"$299,316.67 "
California,Solano,2015,"$331,650.00 "
California,Solano,2016,"$362,758.33 "
California,Solano,2017,"$394,945.45 "
California,Riverside,2008,"$312,958.33 "
California,Riverside,2009,"$232,016.67 "
California,Riverside,2010,"$214,041.67 "
California,Riverside,2011,"$203,433.33 "
California,Riverside,2012,"$207,683.33 "
California,Riverside,2013,"$249,125.00 "
California,Riverside,2014,"$285,891.67 "
California,Riverside,2015,"$304,241.67 "
California,Riverside,2016,"$323,500.00 "
California,Riverside,2017,"$342,863.64 "
California,Sacramento,2008,"$269,066.67 "
California,Sacramento,2009,"$224,466.67 "
California,Sacramento,2010,"$200,933.33 "
California,Sacramento,2011,"$179,733.33 "
California,Sacramento,2012,"$179,975.00 "
California,Sacramento,2013,"$226,183.33 "
California,Sacramento,2014,"$258,316.67 "
California,Sacramento,2015,"$276,158.33 "
California,Sacramento,2016,"$304,600.00 "
California,Sacramento,2017,"$332,627.27 "
California,Stanislaus,2008,"$227,508.33 "
California,Stanislaus,2009,"$161,816.67 "
California,Stanislaus,2010,"$145,950.00 "
California,Stanislaus,2011,"$136,133.33 "
California,Stanislaus,2012,"$137,058.33 "
California,Stanislaus,2013,"$162,158.33 "
California,Stanislaus,2014,"$203,400.00 "
California,Stanislaus,2015,"$227,700.00 "
California,Stanislaus,2016,"$250,658.33 "
California,Stanislaus,2017,"$273,345.45 "
California,Butte,2008,"$242,608.33 "
California,Butte,2009,"$224,808.33 "
California,Butte,2010,"$205,283.33 "
California,Butte,2011,"$186,075.00 "
California,Butte,2012,"$184,300.00 "
California,Butte,2013,"$202,875.00 "
California,Butte,2014,"$218,291.67 "
California,Butte,2015,"$228,833.33 "
California,Butte,2016,"$245,966.67 "
California,Butte,2017,"$265,609.09 "
California,Fresno,2008,"$217,008.33 "
California,Fresno,2009,"$179,133.33 "
California,Fresno,2010,"$159,791.67 "
California,Fresno,2011,"$142,233.33 "
California,Fresno,2012,"$139,808.33 "
California,Fresno,2013,"$158,816.67 "
California,Fresno,2014,"$181,108.33 "
California,Fresno,2015,"$193,116.67 "
California,Fresno,2016,"$207,316.67 "
California,Fresno,2017,"$224,554.55 "
California,Tulare,2008,"$185,850.00 "
California,Tulare,2009,"$158,075.00 "
California,Tulare,2010,"$135,275.00 "
California,Tulare,2011,"$121,391.67 "
California,Tulare,2012,"$120,633.33 "
California,Tulare,2013,"$135,241.67 "
California,Tulare,2014,"$151,191.67 "
California,Tulare,2015,"$163,333.33 "
California,Tulare,2016,"$175,091.67 "
California,Tulare,2017,"$187,772.73 "
California,Kings,2008,"$192,908.33 "
California,Kings,2009,"$178,866.67 "
California,Kings,2010,"$150,050.00 "
California,Kings,2011,"$134,016.67 "
California,Kings,2012,"$129,275.00 "
California,Kings,2013,"$138,816.67 "
California,Kings,2014,"$152,433.33 "
California,Kings,2015,"$162,366.67 "
California,Kings,2016,"$171,741.67 "
California,Kings,2017,"$186,000.00 "
California,,2008,"$425,650.00 "
California,,2009,"$351,791.67 "
California,,2010,"$338,141.67 "
California,,2011,"$318,966.67 "
California,,2012,"$320,133.33 "
California,,2013,"$374,150.00 "
California,,2014,"$418,008.33 "
California,,2015,"$444,783.33 "
California,,2016,"$476,741.67 "
California,,2017,"$515,800.00 "
