State,Urban/ Nonurban,Region,County,Population,Group,% of Group
California,Semi-Urban,Central Valley,Stanislaus,522798,Pacific Islander,43.1
California,Semi-Urban,Central Valley,Stanislaus,522799,Other,49.2
California,Semi-Urban,Central Valley,Stanislaus,522800,Two or More,53.7
California,Semi-Urban,Central Valley,Stanislaus,522801,White,63.7
California,Semi-Urban,Central Valley,Stanislaus,522802,Total,57.2
California,Semi-Urban,Northern/Sierra,Sutter,95067,Latino,38.5
California,Semi-Urban,Northern/Sierra,Sutter,95068,Black,48
California,Semi-Urban,Northern/Sierra,Sutter,95069,Native American,34.6
California,Semi-Urban,Northern/Sierra,Sutter,95070,Asian,68.5
California,Semi-Urban,Northern/Sierra,Sutter,95071,Pacific Islander,47.8
California,Semi-Urban,Northern/Sierra,Sutter,95072,Other,39
California,Semi-Urban,Northern/Sierra,Sutter,95073,Two or More,42.8
California,Semi-Urban,Northern/Sierra,Sutter,95074,White,66
California,Semi-Urban,Northern/Sierra,Sutter,95075,Total,59.1
California,Non-Urban,Northern/Sierra,Tehama,63284,Latino,54
California,Non-Urban,Northern/Sierra,Tehama,63285,Black,0
California,Non-Urban,Northern/Sierra,Tehama,63286,Native American,68.1
California,Non-Urban,Northern/Sierra,Tehama,63287,Asian,62.5
California,Non-Urban,Northern/Sierra,Tehama,63288,Pacific Islander,100
California,Non-Urban,Northern/Sierra,Tehama,63289,Other,72.9
California,Non-Urban,Northern/Sierra,Tehama,63290,Two or More,65.4
California,Non-Urban,Northern/Sierra,Tehama,63291,White,71.2
California,Non-Urban,Northern/Sierra,Tehama,63292,Total,68.4
California,Non-Urban,Northern/Sierra,Trinity,13515,Latino,61.1
California,Non-Urban,Northern/Sierra,Trinity,13516,Black,0
California,Non-Urban,Northern/Sierra,Trinity,13517,Native American,35.4
California,Non-Urban,Northern/Sierra,Trinity,13518,Asian,69.8
California,Non-Urban,Northern/Sierra,Trinity,13519,Pacific Islander,0
California,Non-Urban,Northern/Sierra,Trinity,13520,Other,5.9
California,Non-Urban,Northern/Sierra,Trinity,13521,Two or More,43.4
California,Non-Urban,Northern/Sierra,Trinity,13522,White,73.8
California,Non-Urban,Northern/Sierra,Trinity,13523,Total,70.5
California,Semi-Urban,Central Valley,Tulare,451108,Latino,47.6
California,Semi-Urban,Central Valley,Tulare,451109,Black,30.7
California,Semi-Urban,Central Valley,Tulare,451110,Native American,44.5
California,Semi-Urban,Central Valley,Tulare,451111,Asian,64.5
California,Semi-Urban,Central Valley,Tulare,451112,Pacific Islander,26.5
California,Semi-Urban,Central Valley,Tulare,451113,Other,56.4
California,Semi-Urban,Central Valley,Tulare,451114,Two or More,55.1
California,Semi-Urban,Central Valley,Tulare,451115,White,69.2
California,Semi-Urban,Central Valley,Tulare,451116,Total,57.2
California,Non-Urban,Northern/Sierra,Tuolumne,54347,Latino,56.3
California,Non-Urban,Northern/Sierra,Tuolumne,54348,Black,17
California,Non-Urban,Northern/Sierra,Tuolumne,54349,Native American,51.6
California,Non-Urban,Northern/Sierra,Tuolumne,54350,Asian,81.6
California,Non-Urban,Northern/Sierra,Tuolumne,54351,Pacific Islander,44
California,Non-Urban,Northern/Sierra,Tuolumne,54352,Other,57.5
California,Non-Urban,Northern/Sierra,Tuolumne,54353,Two or More,37.3
California,Non-Urban,Northern/Sierra,Tuolumne,54354,White,71.6
California,Non-Urban,Northern/Sierra,Tuolumne,54355,Total,69.3
California,Semi-Urban,Central Coast,Ventura,835790,Latino,49.9
California,Semi-Urban,Central Coast,Ventura,835791,Black,42.2
California,Semi-Urban,Central Coast,Ventura,835792,Native American,49.7
California,Semi-Urban,Central Coast,Ventura,835793,Asian,73
California,Semi-Urban,Central Coast,Ventura,835794,Pacific Islander,52.4
California,Semi-Urban,Central Coast,Ventura,835795,Other,50.2
California,Semi-Urban,Central Coast,Ventura,835796,Two or More,56.5
California,Semi-Urban,Central Coast,Ventura,835797,White,71.2
California,Semi-Urban,Central Coast,Ventura,835798,Total,64.5
California,Semi-Urban,Sacramento,Yolo,204162,Latino,42.3
California,Semi-Urban,Sacramento,Yolo,204163,Black,30.9
California,Semi-Urban,Sacramento,Yolo,204164,Native American,35.1
California,Semi-Urban,Sacramento,Yolo,204165,Asian,40.4
California,Semi-Urban,Sacramento,Yolo,204166,Pacific Islander,45.9
California,Semi-Urban,Sacramento,Yolo,204167,Other,37.7
California,Semi-Urban,Sacramento,Yolo,204168,Two or More,43
California,Semi-Urban,Sacramento,Yolo,204169,White,60.3
California,Semi-Urban,Sacramento,Yolo,204170,Total,52.4
California,Semi-Urban,Northern/Sierra,Yuba,73059,Latino,50.7
California,Semi-Urban,Northern/Sierra,Yuba,73059,Black,58.8
California,Semi-Urban,Northern/Sierra,Yuba,73059,Native American,62.1
California,Semi-Urban,Northern/Sierra,Yuba,73059,Asian,57.7
California,Semi-Urban,Northern/Sierra,Yuba,73059,Pacific Islander,18.8
California,Semi-Urban,Northern/Sierra,Yuba,73059,Other,51.3
California,Semi-Urban,Northern/Sierra,Yuba,73059,Two or More,45.2
California,Semi-Urban,Northern/Sierra,Yuba,73059,White,60.8
California,Semi-Urban,Northern/Sierra,Yuba,73059,Total,58.1
California,,,,38066920,Latino,42.9
California,,,,38066920,Black,35.4
California,,,,38066920,Native American,45.3
California,,,,38066920,Asian,57.3
California,,,,38066920,Pacific Islander,41.2
California,,,,38066920,Other,38.3
California,,,,38066920,Two or More,46
California,,,,38066920,White,63.6
California,,,,38066920,Total,54.8
